startYear,Top 0%-10%,Top 10%-20%,Top 20%-30%,Top 30%-40%,Top 40%-50%,Top 50%-60%,Top 60%-70%,Top 70%-80%,Top 80%-90%,Top 90%-100%,Total
2000.0,105.0,100.0,96.0,96.0,92.0,91.0,91.0,90.0,88.0,88.0,93.0
2001.0,104.0,100.0,97.0,95.0,93.0,93.0,90.0,90.0,90.0,85.0,94.0
2002.0,101.0,100.0,97.5,95.0,92.0,92.0,91.0,90.0,87.0,85.0,93.0
2003.0,104.0,100.0,97.0,96.0,93.0,93.0,90.0,89.0,86.5,85.0,93.0
2004.0,103.0,98.0,95.0,95.0,95.0,92.0,89.0,89.0,85.0,85.0,93.0
2005.0,104.0,99.5,96.0,94.0,93.0,91.0,90.0,87.0,85.0,81.0,92.0
2006.0,102.0,97.0,96.0,95.0,93.0,90.0,90.0,87.0,85.0,83.0,92.0
2007.0,101.0,98.0,95.0,95.0,92.0,90.0,90.0,87.0,85.0,83.0,92.0
2008.0,101.0,98.0,96.0,95.0,92.0,90.0,90.0,87.0,85.0,84.0,91.0
2009.0,100.5,96.0,94.0,92.0,90.0,90.0,88.0,87.0,84.0,83.0,90.0
2010.0,103.0,96.0,95.0,92.0,90.0,90.0,87.0,85.0,83.0,81.5,90.0
2011.0,102.0,96.0,93.0,91.0,90.0,90.0,89.0,86.0,82.0,80.0,90.0
2012.0,101.0,95.0,93.0,90.0,90.0,88.0,87.0,86.0,87.0,82.0,90.0
2013.0,102.0,96.0,94.0,90.0,90.0,90.0,86.0,85.0,84.0,81.0,90.0
2014.0,102.0,95.0,94.0,92.0,91.0,89.0,88.0,86.0,84.0,82.0,90.0
2015.0,100.0,97.0,94.0,93.0,90.0,90.0,89.0,85.0,85.0,81.0,90.0
2016.0,103.0,98.0,93.0,92.0,90.0,90.0,88.0,86.0,85.0,83.0,90.0
2017.0,104.0,98.0,94.0,93.0,91.0,90.0,88.0,87.0,85.0,83.0,91.0
2018.0,104.0,99.0,94.0,93.0,92.0,90.0,89.0,86.0,85.0,83.0,91.0
2019.0,104.0,100.0,96.0,94.0,91.0,90.0,89.0,88.0,87.0,82.0,92.0
2020.0,101.0,97.0,94.0,92.0,90.0,88.0,88.0,84.0,83.0,81.0,90.0
2021.0,107.0,101.0,96.0,93.0,91.0,90.0,90.0,89.0,85.0,82.0,92.0
2022.0,110.0,105.0,100.0,97.0,95.0,92.0,90.0,90.0,87.0,85.0,95.0
2023.0,113.0,108.0,103.0,98.0,96.5,96.0,93.0,91.0,90.0,89.0,97.0
