primaryTitle,startYear,runtimeMinutes,averageRating,numVotes,directors,ProductionBudget,WorldwideGross
Chicken Run,2000,84,7.1,197323,"Nick Park, Peter Lord",42000000,227793915
X-Men,2000,104,7.3,624245,Bryan Singer,75000000,296872367
Titan A.E.,2000,94,6.6,62291,"Don Bluth, Gary Goldman",75000000,36751979
The Emperor's New Groove,2000,78,7.4,210620,Mark Dindal,100000000,169630573
Return to Me,2000,115,6.9,21732,Bonnie Hunt,24000000,32662299
Dinosaur,2000,82,6.4,63288,"Eric Leighton, Ralph Zondag",127500000,356148063
The Adventures of Rocky & Bullwinkle,2000,92,4.3,20654,Des McAnuff,76000000,35129610
Scream 3,2000,116,5.6,151807,Wes Craven,40000000,161838076
Duets,2000,112,6.1,9785,Bruce Paltrow,16000000,6615452
Pitch Black,2000,109,7.1,245175,David Twohy,23000000,53182088
Supernova,2000,90,4.8,18550,"Walter Hill, Francis Ford Coppola, Jack Sholder",60000000,14816494
The Road to El Dorado,2000,89,6.9,100316,"Bibo Bergeron, Jeffrey Katzenberg, Don Paul",95000000,65700000
The Yards,2000,115,6.4,22067,James Gray,20000000,2282710
U-571,2000,116,6.6,83788,Jonathan Mostow,62000000,127630030
American Psycho,2000,102,7.6,645965,Mary Harron,8000000,34270285
Nutty Professor II: The Klumps,2000,106,4.4,51953,Peter Segal,84000000,166307945
Highlander: Endgame,2000,87,4.6,20776,Douglas Aarniokoski,15000000,12801190
Thirteen Days,2000,145,7.3,60211,Roger Donaldson,80000000,66554547
High Fidelity,2000,113,7.4,183488,Stephen Frears,20000000,47881663
The Legend of Bagger Vance,2000,126,6.7,58026,Robert Redford,60000000,39235486
All the Pretty Horses,2000,116,5.8,15255,Billy Bob Thornton,45000000,18120267
Screwed,2000,81,5.6,9299,"Scott Alexander, Larry Karaszewski",12000000,6982680
My Dog Skip,2000,95,7,20870,Jay Russell,7000000,35795319
The Next Best Thing,2000,108,4.6,11471,John Schlesinger,25000000,24355762
The Flintstones in Viva Rock Vegas,2000,90,3.7,24286,Brian Levant,58000000,59431365
The Art of War,2000,117,5.7,30333,Christian Duguay,40000000,40390931
Charlie's Angels,2000,98,5.6,190263,McG,90000000,259736090
Lost Souls,2000,97,4.8,11121,Janusz Kaminski,28000000,31320293
Rules of Engagement,2000,128,6.4,48869,William Friedkin,60000000,71719931
What Lies Beneath,2000,130,6.6,129794,Robert Zemeckis,90000000,288693989
Cast Away,2000,143,7.8,604841,Robert Zemeckis,85000000,427230516
Shaft,2000,99,6,78507,John Singleton,53012938,107190108
Hanging Up,2000,94,4.8,12855,Diane Keaton,40000000,51867723
The Beach,2000,119,6.6,244362,Danny Boyle,50000000,39778599
Bless the Child,2000,107,5.1,14927,Chuck Russell,40000000,40435694
Hollow Man,2000,112,5.8,133845,Paul Verhoeven,90000000,191200000
Romeo Must Die,2000,115,6.1,71711,Andrzej Bartkowiak,25000000,91036760
I Dreamed of Africa,2000,114,5.5,4746,Hugh Hudson,34000000,14291999
Dancer in the Dark,2000,140,7.9,112341,Lars von Trier,12500000,45556774
How the Grinch Stole Christmas,2000,104,6.3,267240,Ron Howard,123000000,345445403
Gun Shy,2000,101,5.6,7644,Eric Blakeney,10000000,1638202
Hamlet,2000,112,5.9,9745,Michael Almereyda,2000000,2419669
Keeping the Faith,2000,128,6.4,52456,Edward Norton,29000000,45336404
Nurse Betty,2000,110,6.3,35622,Neil LaBute,24000000,27732366
Gladiator,2000,155,8.5,1523808,Ridley Scott,103000000,452282115
Cecil B. Demented,2000,87,6.2,16137,John Waters,10000000,1953882
Whipped,2000,82,4.5,4248,Peter M. Cohen,3000000,4142507
Autumn in New York,2000,103,5.6,27253,Joan Chen,40000000,90717684
Scary Movie,2000,88,6.2,269068,Keenen Ivory Wayans,19000000,277200000
Gossip,2000,90,5.9,16949,Davis Guggenheim,14000000,12591270
The Perfect Storm,2000,130,6.5,171548,Wolfgang Petersen,120000000,328711434
Quills,2000,124,7.2,55306,Philip Kaufman,13500000,11732088
Requiem for a Dream,2000,102,8.3,855900,Darren Aronofsky,4500000,7389233
What Planet Are You From?,2000,105,5.6,9658,Mike Nichols,50000000,6291602
Finding Forrester,2000,136,7.3,87461,Gus Van Sant,43000000,80013623
Traffic,2000,147,7.6,211198,Steven Soderbergh,48000000,208300000
Almost Famous,2000,122,7.9,281962,Cameron Crowe,60000000,47371191
Boiler Room,2000,120,7,54593,Ben Younger,9000000,28773637
"Me, Myself & Irene",2000,116,6.6,242323,"Bobby Farrelly, Peter Farrelly",51000000,149270999
Mission to Mars,2000,114,5.6,74586,Brian De Palma,90000000,106000000
Pollock,2000,122,7,28786,Ed Harris,6000000,10557291
Reindeer Games,2000,104,5.8,41063,John Frankenheimer,36000000,23360779
Shanghai Noon,2000,110,6.6,130353,Tom Dey,55000000,71189835
Snow Day,2000,89,5.1,13183,Chris Koch,13000000,62452927
Wonder Boys,2000,107,7.2,65250,Curtis Hanson,35000000,33422485
Little Nicky,2000,90,5.3,108212,Steven Brill,80000000,58270391
Drowning Mona,2000,96,5.7,15023,Nick Gomez,16000000,15980376
Frequency,2000,118,7.4,110939,Gregory Hoblit,31000000,68079671
Space Cowboys,2000,130,6.5,83294,Clint Eastwood,65000000,128874043
Bounce,2000,106,5.8,21207,Don Roos,35000000,53425292
Down to You,2000,91,5,15380,Kris Isacsson,9000000,20035310
Gone in 60 Seconds,2000,118,6.5,284055,Dominic Sena,103300000,232643008
The Patriot,2000,165,7.2,281012,Roland Emmerich,110000000,215300000
Shadow of the Vampire,2000,92,6.9,42824,E. Elias Merhige,8000000,8279017
The Whole Nine Yards,2000,98,6.7,123753,Jonathan Lynn,24000000,85527867
"Crouching Tiger, Hidden Dragon",2000,120,7.9,274364,Ang Lee,15000000,213964359
"O Brother, Where Art Thou?",2000,107,7.7,318391,"Joel Coen, Ethan Coen",26000000,75763814
Vertical Limit,2000,124,5.9,63013,Martin Campbell,75000000,213500000
The Replacements,2000,118,6.6,66757,Howard Deutch,50000000,50054511
28 Days,2000,103,6.1,51738,Betty Thomas,43000000,62063972
The Little Vampire,2000,95,5.7,10859,Uli Edel,22000000,13560782
The Skulls,2000,106,5.6,32895,Rob Cohen,15000000,35007180
Urban Legends: Final Cut,2000,97,4.3,18154,John Ottman,15000000,38574362
Panic,2000,88,6.7,8768,Henry Bromell,1000000,1425707
Saving Grace,2000,93,6.9,18828,Nigel Cole,4000000,27786849
Erin Brockovich,2000,131,7.4,204630,Steven Soderbergh,50000000,257805243
Final Destination,2000,98,6.7,263166,James Wong,23000000,112036870
Here on Earth,2000,96,5.1,8734,Mark Piznarski,15000000,10845127
Next Friday,2000,98,6.1,42121,Steve Carr,9500000,59675307
Small Time Crooks,2000,94,6.7,39433,Woody Allen,18000000,29934477
Where the Heart Is,2000,120,6.7,35043,Matt Williams,15000000,40862054
The Crew,2000,88,5.6,6561,Michael Dinner,23000000,13019253
Love & Basketball,2000,124,7.2,22743,Gina Prince-Bythewood,15000000,27709625
Red Planet,2000,106,5.7,58818,Antony Hoffman,80000000,33463969
Coyote Ugly,2000,100,5.7,117401,David McNally,45000000,113916474
The House of Mirth,2000,135,7,7745,Terence Davies,10000000,5149131
