tconst,primaryTitle,startYear,runtimeMinutes,averageRating,numVotes,directors,writers,Production Budget,Worldwide Gross
tt0004972,The Birth of a Nation,1915,195,6.2,25354,D.W. Griffith,"Thomas Dixon Jr., D.W. Griffith, Frank E. Woods",110000,11000000
tt0006333,"20,000 Leagues Under the Sea",1916,85,6.1,1880,Stuart Paton,"Jules Verne, Stuart Paton",200000,8000000
tt0006864,Intolerance,1916,163,7.7,16018,D.W. Griffith,"Hettie Grey Baker, Tod Browning, D.W. Griffith, Anita Loos, Mary H. O'Connor, Walt Whitman, Frank E. Woods",385907,0
tt0015624,The Big Parade,1925,151,7.9,6973,"George W. Hill, King Vidor","Laurence Stallings, Harry Behn, Joseph Farnham, King Vidor",245000,22000000
tt0016641,Ben-Hur: A Tale of the Christ,1925,143,7.8,7745,"Fred Niblo, Charles Brabin, Christy Cabanne, J.J. Cohn, Rex Ingram","Lew Wallace, June Mathis, Carey Wilson, Katherine Hilliker, H.H. Caldwell",3900000,9000000
tt0018578,Wings,1927,144,7.6,13566,"William A. Wellman, Harry d'Abbadie d'Arrast","John Monk Saunders, Hope Loring, Louis D. Lighton, Julian Johnson, Byron Morgan",2000000,0
tt0019729,The Broadway Melody,1929,100,5.6,7581,Harry Beaumont,"Edmund Goulding, Norman Houston, James Gleason, Earl Baldwin",379000,4358000
tt0020960,Hell's Angels,1930,127,7.3,5623,"Howard Hughes, Edmund Goulding, James Whale","Marshall Neilan, Joseph Moncure March, Howard Estabrook, Harry Behn",4000000,0
tt0023196,Mata Hari,1931,89,6.6,3807,George Fitzmaurice,"Benjamin Glazer, Leo Birinsky, Doris Anderson, Gilbert Emery",558000,900000
tt0024034,42nd Street,1933,89,7.3,12477,Lloyd Bacon,"Rian James, James Seymour, Bradford Ropes, Whitney Bolton",439000,2281000
tt0024216,King Kong,1933,100,7.9,87386,"Merian C. Cooper, Ernest B. Schoedsack","James Ashmore Creelman, Ruth Rose, Merian C. Cooper, Edgar Wallace, Leon Gordon",672000,10001781
tt0024548,She Done Him Wrong,1933,66,6.3,6534,Lowell Sherman,"Mae West, Harvey F. Thew, John Bright",200000,2200000
tt0025316,It Happened One Night,1934,105,8.1,106539,Frank Capra,"Robert Riskin, Samuel Hopkins Adams",325000,2500000
tt0027125,Top Hat,1935,101,7.7,19799,Mark Sandrich,"Dwight Taylor, Allan Scott, Aladar Laszlo, Sándor Faragó, Ben Holmes, Károly Nóti, Ralph Spence",609000,3202000
tt0027438,The Charge of the Light Brigade,1936,115,7,5205,Michael Curtiz,"Alfred Lord Tennyson, Michael Jacoby, Rowland Leigh",1200000,0
tt0027977,Modern Times,1936,87,8.5,246616,Charles Chaplin,Charles Chaplin,1500000,229549
tt0028216,San Francisco,1936,115,7.2,5816,W.S. Van Dyke,"Anita Loos, Robert E. Hopkins, Herman J. Mankiewicz",1300000,5273000
tt0029583,Snow White and the Seven Dwarfs,1937,83,7.6,204447,"Ben Sharpsteen, David Hand, Perce Pearce, William Cottrell, Wilfred Jackson, Larry Morey","Jacob Grimm, Wilhelm Grimm, Ted Sears, nm0187232, Otto Englander, nm0725439, nm0403319, nm0210112, nm0087490, nm0810324",1488000,184925486
tt0029852,Alexander's Ragtime Band,1938,106,6.9,2196,Henry King,"Kathryn Scola, Lamar Trotti, Richard Sherman, Irving Berlin, Sheridan Gibney, Darryl F. Zanuck",2000000,4000000
tt0031381,Gone with the Wind,1939,238,8.2,320696,"Victor Fleming, George Cukor, Sam Wood","Margaret Mitchell, Sidney Howard, Oliver H.P. Garrett, Ben Hecht, Jo Swerling, John Van Druten",3900000,390525192
