primaryTitle,startYear,runtimeMinutes
The Witches,2020,106
Lost Girls and Love Hotels,2020,97
Fantasy Island,2020,109
The Rental,2020,88
Hunted,2020,87
Love Aaj Kal,2020,142
Guest House,2020,84
Unhinged,2020,90
Guilty,2020,119
Antebellum,2020,105
Made in Abyss: Dawn of the Deep Soul,2020,113
Breaking Surface,2020,82
Earth and Blood,2020,80
Apples,2020,91
Tribal Get Out Alive,2020,86
Scare Me,2020,104
Rogue City,2020,116
Valley of the Dead,2020,101
Zenek,2020,115
Behind the Line: Escape to Dunkirk,2020,87
The Quarry,2020,98
The Prom,2020,130
Dangerous Lies,2020,96
Forensic,2020,134
Soorarai Pottru,2020,153
Alone,2020,92
Bye Bye Morons,2020,87
The Boys in the Band,2020,121
Pareeksha,2020,120
As I Am,2020,62
The Dark and the Wicked,2020,95
Ghost Stories,2020,144
Serious Men,2020,114
Class of '83,2020,98
Mrs. Serial Killer,2020,106
"Love, Weddings & Other Disasters",2020,96
I'm Your Woman,2020,120
Boys from County Hell,2020,88
Light from the Tower,2020,77
The Father,2020,97
Girl Lost: A Hollywood Story,2020,90
Work It,2020,93
French Exit,2020,113
Coolie No. 1,2020,134
Feral State,2020,84
Rose Island,2020,117
Another Round,2020,117
Survive the Night,2020,90
Sightless,2020,89
The Decline,2020,83
Force of Nature,2020,91
12 Hour Shift,2020,86
Shubh Mangal Zyada Saavdhan,2020,117
Fatman,2020,100
Becky,2020,93
Budapest Heist,2020,104
Secret Society of Second Born Royals,2020,99
Your Name Engraved Herein,2020,118
Ricos de Amor,2020,104
Gulabo Sitabo,2020,124
Blithe Spirit,2020,99
Four Good Days,2020,100
How I Became a Super Hero,2020,97
Gunjan Saxena: The Kargil Girl,2020,112
Laxmii,2020,141
Nightlife,2020,111
The Dinner Party,2020,116
The Man Who Sold His Skin,2020,104
After We Collided,2020,105
The Windermere Children,2020,88
Mandibles,2020,77
I Am Greta,2020,97
The Stronghold,2020,105
Tolo Tolo,2020,90
Ask Tesadüfleri Sever 2,2020,124
Schoolgirls,2020,97
The Way We Are,2020,121
Nine Days,2020,124
Lost Bullet,2020,92
Summer of 85,2020,101
Bhoot: Part One - The Haunted Ship,2020,114
Karakomik Filmler: Emanet,2020,60
The Trip to Greece,2020,103
I Hate Summer,2020,110
Double World,2020,110
Ma Rainey's Black Bottom,2020,94
Lootcase,2020,132
Half Brothers,2020,96
The Invisible Man,2020,124
The Forgotten Battle,2020,124
Silver Skates,2020,130
The Call,2020,112
The Midnight Sky,2020,118
The Main Event,2020,101
Ginny Weds Sunny,2020,125
Baba Parasi,2020,116
Dreamkatcher,2020,85
Dara of Jasenovac,2020,130
Unpregnant,2020,103
We Can Be Heroes,2020,100
One Night in Miami...,2020,114
Mank,2020,131
#Alive,2020,98
Christmas on the Square,2020,98
The Life Ahead,2020,94
Minari,2020,115
The Forty-Year-Old Version,2020,123
Shylock,2020,130
Safety,2020,122
The Last Shift,2020,90
The Swarm,2020,101
Hubie Halloween,2020,103
After Love,2020,89
Ponmagal Vandhal,2020,123
The Killing of Two Lovers,2020,85
The Trial of the Chicago 7,2020,129
Held,2020,94
Feel the Beat,2020,109
Anjaam Pathiraa,2020,144
Nobody Knows I'm Here,2020,91
Suraj Pe Mangal Bhari,2020,141
Audrey,2020,100
Airplane Mode,2020,96
Honeydew,2020,106
Spell,2020,91
The Boy Behind the Door,2020,88
Sarileru Neekevvaru,2020,169
Dwitiyo Purush,2020,129
Dear Comrades!,2020,121
Let Them All Talk,2020,113
18 Presents,2020,115
Pixie,2020,93
Taish,2020,143
Bill & Ted Face the Music,2020,91
Khaali Peeli,2020,119
365 Days,2020,114
I Used to Go Here,2020,80
The Sleepover,2020,100
The Binding,2020,93
The Crimes That Bind,2020,99
