primaryTitle,startYear,runtimeMinutes
In the Mood for Love,2000,98
Chinese Coffee,2000,99
Heavy Metal 2000,2000,88
State and Main,2000,105
Songs from the Second Floor,2000,98
Vulgar,2000,87
Chicken Run,2000,84
The Million Dollar Hotel,2000,122
Mission: Impossible II,2000,123
X-Men,2000,104
Titan A.E.,2000,94
The Emperor's New Groove,2000,78
Return to Me,2000,115
Waking the Dead,2000,105
Dinosaur,2000,82
The Adventures of Rocky & Bullwinkle,2000,92
The Crow: Salvation,2000,102
Scream 3,2000,116
Duets,2000,112
Pitch Black,2000,109
Supernova,2000,90
The Road to El Dorado,2000,89
The Yards,2000,115
U-571,2000,116
American Psycho,2000,102
Nutty Professor II: The Klumps,2000,106
Highlander: Endgame,2000,87
Thirteen Days,2000,145
High Fidelity,2000,113
The Legend of Bagger Vance,2000,126
Where the Money Is,2000,89
All the Pretty Horses,2000,116
Josh,2000,162
Screwed,2000,81
My Dog Skip,2000,95
The Next Best Thing,2000,108
2001: A Space Travesty,2000,99
The Flintstones in Viva Rock Vegas,2000,90
Takedown,2000,92
The Art of War,2000,117
Charlie's Angels,2000,98
Lost Souls,2000,97
Ordinary Decent Criminal,2000,93
Rules of Engagement,2000,128
What Lies Beneath,2000,130
Cast Away,2000,143
Shaft,2000,99
Hanging Up,2000,94
The in Crowd,2000,105
The Beach,2000,119
Bless the Child,2000,107
Hollow Man,2000,112
Under Suspicion,2000,110
Romeo Must Die,2000,115
I Dreamed of Africa,2000,114
Dancer in the Dark,2000,140
A Fish Tale,2000,80
How the Grinch Stole Christmas,2000,104
Tigerland,2000,101
Gun Shy,2000,101
Hamlet,2000,112
Keeping the Faith,2000,128
Nurse Betty,2000,110
Gladiator,2000,155
Cecil B. Demented,2000,87
Whipped,2000,82
Autumn in New York,2000,103
Scary Movie,2000,88
Cherry Falls,2000,92
Gossip,2000,90
In July,2000,99
The Perfect Storm,2000,130
Fortress 2: Re-Entry,2000,92
Quills,2000,124
Requiem for a Dream,2000,102
What Planet Are You From?,2000,105
Finding Forrester,2000,136
Traffic,2000,147
Almost Famous,2000,122
Boiler Room,2000,120
Love's Labour's Lost,2000,93
"Me, Myself & Irene",2000,116
Mission to Mars,2000,114
Pollock,2000,122
Taxi 2,2000,88
Reindeer Games,2000,104
Shanghai Noon,2000,110
Snow Day,2000,89
Wonder Boys,2000,107
