primaryTitle,startYear,runtimeMinutes,averageRating,numVotes,directors,Production Budget,Worldwide Gross
Chicken Run,2000,84,7.1,210509,"Peter Lord, Nick Park",42000000,227793915
X-Men,2000,104,7.3,640810,Bryan Singer,75000000,296872367
Titan A.E.,2000,94,6.6,63626,"Gary Goldman, Don Bluth",75000000,36751979
The Emperor's New Groove,2000,78,7.4,222618,Mark Dindal,100000000,169630573
Return to Me,2000,115,6.9,22487,Bonnie Hunt,24000000,32662299
Dinosaur,2000,82,6.4,66434,"Eric Leighton, Ralph Zondag",127500000,356148063
The Adventures of Rocky & Bullwinkle,2000,92,4.3,21110,Des McAnuff,76000000,35129610
Scream 3,2000,116,5.6,162543,Wes Craven,40000000,161838076
Duets,2000,112,6.1,9989,Bruce Paltrow,16000000,6615452
Pitch Black,2000,109,7,251581,David Twohy,23000000,53182088
Supernova,2000,90,4.8,19142,"Walter Hill, Francis Ford Coppola, Jack Sholder",60000000,14816494
The Road to El Dorado,2000,89,6.9,106343,"Jeffrey Katzenberg, Bibo Bergeron, Don Paul",95000000,65700000
The Yards,2000,115,6.4,22818,James Gray,20000000,2282710
U-571,2000,116,6.6,86803,Jonathan Mostow,62000000,127630030
American Psycho,2000,102,7.6,701621,Mary Harron,8000000,34270285
Nutty Professor II: The Klumps,2000,106,4.5,53002,Peter Segal,84000000,166307945
Highlander: Endgame,2000,87,4.6,21185,Douglas Aarniokoski,15000000,12801190
Thirteen Days,2000,145,7.3,62237,Roger Donaldson,80000000,66554547
High Fidelity,2000,113,7.4,188520,Stephen Frears,20000000,47881663
The Legend of Bagger Vance,2000,126,6.7,59105,Robert Redford,60000000,39235486
All the Pretty Horses,2000,116,5.8,15558,Billy Bob Thornton,45000000,18120267
Screwed,2000,81,5.6,9471,"Scott Alexander, Larry Karaszewski",12000000,6982680
My Dog Skip,2000,95,7,21246,Jay Russell,7000000,35795319
The Next Best Thing,2000,108,4.7,11647,John Schlesinger,25000000,24355762
The Flintstones in Viva Rock Vegas,2000,90,3.7,25253,Brian Levant,58000000,59431365
The Art of War,2000,117,5.7,30774,Christian Duguay,40000000,40390931
Charlie's Angels,2000,98,5.6,194957,McG,90000000,259736090
Lost Souls,2000,97,4.8,11319,Janusz Kaminski,28000000,31320293
Rules of Engagement,2000,128,6.4,50062,William Friedkin,60000000,71719931
What Lies Beneath,2000,130,6.6,134673,Robert Zemeckis,90000000,288693989
Cast Away,2000,143,7.8,631387,Robert Zemeckis,85000000,427230516
Shaft,2000,99,6,80338,John Singleton,53012938,107190108
Hanging Up,2000,94,4.8,13110,Diane Keaton,40000000,51867723
The Beach,2000,119,6.6,251900,Danny Boyle,50000000,39778599
Bless the Child,2000,107,5.1,15298,Chuck Russell,40000000,40435694
Hollow Man,2000,112,5.8,137450,Paul Verhoeven,90000000,191200000
Romeo Must Die,2000,115,6.1,73266,Andrzej Bartkowiak,25000000,91036760
I Dreamed of Africa,2000,114,5.5,4856,Hugh Hudson,34000000,14291999
Dancer in the Dark,2000,140,7.9,115865,Lars von Trier,12500000,45556774
How the Grinch Stole Christmas,2000,104,6.3,289475,Ron Howard,123000000,347036128
Gun Shy,2000,101,5.6,7807,Eric Blakeney,10000000,1638202
Hamlet,2000,112,5.9,9942,Michael Almereyda,2000000,2419669
Keeping the Faith,2000,128,6.4,53066,Edward Norton,29000000,45336404
Nurse Betty,2000,110,6.3,36088,Neil LaBute,24000000,27732366
Gladiator,2000,155,8.5,1599364,Ridley Scott,103000000,451683599
Cecil B. Demented,2000,87,6.2,16520,John Waters,10000000,1953882
Whipped,2000,82,4.4,4327,Peter M. Cohen,3000000,4142507
Autumn in New York,2000,103,5.6,28088,Joan Chen,40000000,90717684
Scary Movie,2000,88,6.3,283364,Keenen Ivory Wayans,19000000,277200000
Gossip,2000,90,5.9,17449,Davis Guggenheim,14000000,12591270
The Perfect Storm,2000,130,6.5,176702,Wolfgang Petersen,120000000,328711434
Quills,2000,124,7.2,56421,Philip Kaufman,13500000,11732088
Requiem for a Dream,2000,102,8.3,890075,Darren Aronofsky,4500000,7389233
What Planet Are You From?,2000,105,5.6,9799,Mike Nichols,50000000,6291602
Finding Forrester,2000,136,7.3,89125,Gus Van Sant,43000000,80013623
Traffic,2000,147,7.6,218383,Steven Soderbergh,48000000,208300000
Almost Famous,2000,122,7.9,291087,Cameron Crowe,60000000,47371191
Boiler Room,2000,120,7,56117,Ben Younger,9000000,28773637
"Me, Myself & Irene",2000,116,6.6,249414,"Bobby Farrelly, Peter Farrelly",51000000,149270999
Mission to Mars,2000,114,5.7,76155,Brian De Palma,90000000,106000000
Pollock,2000,122,7,29337,Ed Harris,6000000,10557291
Reindeer Games,2000,104,5.8,42129,John Frankenheimer,36000000,23360779
Shanghai Noon,2000,110,6.6,134424,Tom Dey,55000000,71189835
Snow Day,2000,89,5.2,13630,Chris Koch,13000000,62452927
Wonder Boys,2000,107,7.2,66316,Curtis Hanson,35000000,33422485
Little Nicky,2000,90,5.3,111601,Steven Brill,80000000,58270391
Drowning Mona,2000,96,5.7,15447,Nick Gomez,16000000,15980376
Frequency,2000,118,7.4,114880,Gregory Hoblit,31000000,68079671
Space Cowboys,2000,130,6.5,85579,Clint Eastwood,65000000,128874043
Bounce,2000,106,5.8,21644,Don Roos,35000000,53425292
Down to You,2000,91,5,15661,Kris Isacsson,9000000,20035310
Gone in 60 Seconds,2000,118,6.5,292390,Dominic Sena,103300000,232643008
The Patriot,2000,165,7.2,290912,Roland Emmerich,110000000,215300000
