primaryTitle,startYear,runtimeMinutes
In the Mood for Love,2000.0,98.0
Chinese Coffee,2000.0,99.0
Heavy Metal 2000,2000.0,88.0
State and Main,2000.0,105.0
Songs from the Second Floor,2000.0,98.0
Chicken Run,2000.0,84.0
The Million Dollar Hotel,2000.0,122.0
Mission: Impossible II,2000.0,123.0
X-Men,2000.0,104.0
Titan A.E.,2000.0,94.0
The Emperor's New Groove,2000.0,78.0
Return to Me,2000.0,115.0
Waking the Dead,2000.0,105.0
Dinosaur,2000.0,82.0
The Adventures of Rocky & Bullwinkle,2000.0,92.0
The Crow: Salvation,2000.0,102.0
Scream 3,2000.0,116.0
Duets,2000.0,112.0
Pitch Black,2000.0,109.0
Supernova,2000.0,90.0
The Road to El Dorado,2000.0,89.0
The Yards,2000.0,115.0
U-571,2000.0,116.0
American Psycho,2000.0,102.0
Nutty Professor II: The Klumps,2000.0,106.0
Highlander: Endgame,2000.0,87.0
Thirteen Days,2000.0,145.0
High Fidelity,2000.0,113.0
The Legend of Bagger Vance,2000.0,126.0
Where the Money Is,2000.0,89.0
All the Pretty Horses,2000.0,116.0
Josh,2000.0,162.0
Screwed,2000.0,81.0
My Dog Skip,2000.0,95.0
The Next Best Thing,2000.0,108.0
2001: A Space Travesty,2000.0,99.0
The Flintstones in Viva Rock Vegas,2000.0,90.0
Takedown,2000.0,92.0
The Art of War,2000.0,117.0
Charlie's Angels,2000.0,98.0
Lost Souls,2000.0,97.0
Ordinary Decent Criminal,2000.0,93.0
Rules of Engagement,2000.0,128.0
What Lies Beneath,2000.0,130.0
Cast Away,2000.0,143.0
Shaft,2000.0,99.0
Hanging Up,2000.0,94.0
The in Crowd,2000.0,105.0
The Beach,2000.0,119.0
Bless the Child,2000.0,107.0
Hollow Man,2000.0,112.0
Under Suspicion,2000.0,110.0
Romeo Must Die,2000.0,115.0
I Dreamed of Africa,2000.0,114.0
Dancer in the Dark,2000.0,140.0
A Fish Tale,2000.0,80.0
How the Grinch Stole Christmas,2000.0,104.0
Tigerland,2000.0,101.0
Gun Shy,2000.0,101.0
Hamlet,2000.0,112.0
Keeping the Faith,2000.0,128.0
Nurse Betty,2000.0,110.0
Gladiator,2000.0,155.0
Cecil B. Demented,2000.0,87.0
Whipped,2000.0,82.0
Autumn in New York,2000.0,103.0
Scary Movie,2000.0,88.0
Gossip,2000.0,90.0
In July,2000.0,99.0
The Perfect Storm,2000.0,130.0
Fortress 2: Re-Entry,2000.0,92.0
Quills,2000.0,124.0
Requiem for a Dream,2000.0,102.0
What Planet Are You From?,2000.0,105.0
Finding Forrester,2000.0,136.0
Traffic,2000.0,147.0
Almost Famous,2000.0,122.0
Boiler Room,2000.0,120.0
Love's Labour's Lost,2000.0,93.0
"Me, Myself & Irene",2000.0,116.0
Mission to Mars,2000.0,114.0
Pollock,2000.0,122.0
Taxi 2,2000.0,88.0
Reindeer Games,2000.0,104.0
Shanghai Noon,2000.0,110.0
Snow Day,2000.0,89.0
Wonder Boys,2000.0,107.0
Battlefield Earth,2000.0,117.0
Little Nicky,2000.0,90.0
Drowning Mona,2000.0,96.0
Frequency,2000.0,118.0
Space Cowboys,2000.0,130.0
Bounce,2000.0,106.0
Down to You,2000.0,91.0
Gone in 60 Seconds,2000.0,118.0
The Patriot,2000.0,165.0
Anatomy,2000.0,103.0
Shadow of the Vampire,2000.0,92.0
The Whole Nine Yards,2000.0,98.0
"Crouching Tiger, Hidden Dragon",2000.0,120.0
Dungeons & Dragons,2000.0,107.0
Left Behind: The Movie,2000.0,100.0
"O Brother, Where Art Thou?",2000.0,107.0
Vatel,2000.0,103.0
Vertical Limit,2000.0,124.0
The Replacements,2000.0,118.0
Widow of St. Pierre,2000.0,112.0
28 Days,2000.0,103.0
Essex Boys,2000.0,102.0
The Little Vampire,2000.0,95.0
The Skulls,2000.0,106.0
Urban Legends: Final Cut,2000.0,97.0
Panic,2000.0,88.0
Chain of Fools,2000.0,98.0
Saving Grace,2000.0,93.0
Erin Brockovich,2000.0,131.0
Final Destination,2000.0,98.0
Here on Earth,2000.0,96.0
Next Friday,2000.0,98.0
Small Time Crooks,2000.0,94.0
Where the Heart Is,2000.0,120.0
The Crew,2000.0,88.0
About Adam,2000.0,97.0
Love & Basketball,2000.0,124.0
"Love, Honor and Obey",2000.0,103.0
Red Planet,2000.0,106.0
Cheeky,2000.0,91.0
Chuck & Buck,2000.0,96.0
Coyote Ugly,2000.0,100.0
The Golden Bowl,2000.0,130.0
The House of Mirth,2000.0,135.0
Whatever It Takes,2000.0,94.0
The Way of the Gun,2000.0,119.0
Men of Honor,2000.0,129.0
Sexy Beast,2000.0,89.0
Together,2000.0,106.0
You Can Count on Me,2000.0,111.0
Greenfingers,2000.0,91.0
The Princess and the Warrior,2000.0,135.0
Animal Factory,2000.0,94.0
Boys and Girls,2000.0,94.0
The Watcher,2000.0,97.0
A Summer Tale,2000.0,91.0
Bring It On,2000.0,98.0
Kevin & Perry Go Large,2000.0,82.0
Dr. T & the Women,2000.0,122.0
Thomas and the Magic Railroad,2000.0,85.0
The Dish,2000.0,101.0
Psycho Beach Party,2000.0,95.0
Woman on Top,2000.0,92.0
The Man Who Cried,2000.0,100.0
Maybe Baby,2000.0,104.0
What Women Want,2000.0,127.0
Big Momma's House,2000.0,99.0
Snatch,2000.0,104.0
Happy Accidents,2000.0,110.0
The Contender,2000.0,126.0
Get Carter,2000.0,102.0
Memento,2000.0,113.0
Sky Hook,2000.0,95.0
The Cell,2000.0,107.0
Gangster No. 1,2000.0,103.0
Ginger Snaps,2000.0,108.0
Girlfight,2000.0,110.0
Things You Can Tell Just by Looking at Her,2000.0,109.0
The Weight of Water,2000.0,114.0
Center Stage,2000.0,115.0
Remember the Titans,2000.0,113.0
102 Dalmatians,2000.0,100.0
Water Drops on Burning Rocks,2000.0,82.0
The Luzhin Defence,2000.0,109.0
Bait,2000.0,119.0
Meet the Parents,2000.0,108.0
Miss Congeniality,2000.0,109.0
Big Eden,2000.0,118.0
Bread and Roses,2000.0,110.0
Bruiser,2000.0,99.0
Citizen Toxie: The Toxic Avenger IV,2000.0,109.0
Groove,2000.0,86.0
Rugrats in Paris,2000.0,78.0
The Ladies Man,2000.0,84.0
Malena,2000.0,108.0
Mohabbatein,2000.0,216.0
100 Girls,2000.0,94.0
Road Trip,2000.0,93.0
Bamboozled,2000.0,135.0
Crazy,2000.0,97.0
The 6th Day,2000.0,123.0
Code Unknown,2000.0,118.0
Vampire Hunter D: Bloodlust,2000.0,103.0
The Taste of Others,2000.0,112.0
Harrison's Flowers,2000.0,130.0
With a Friend Like Harry...,2000.0,117.0
Loser,2000.0,98.0
Ready to Rumble,2000.0,107.0
Unbreakable,2000.0,106.0
The Claim,2000.0,120.0
Best in Show,2000.0,90.0
The Family Man,2000.0,125.0
Dracula 2000,2000.0,99.0
The Gift,2000.0,112.0
The Kid,2000.0,104.0
Lucky Numbers,2000.0,105.0
The Tigger Movie,2000.0,77.0
Timecode,2000.0,97.0
Maelstrom,2000.0,87.0
Chopper,2000.0,94.0
Hey Ram,2000.0,186.0
Phir Bhi Dil Hai Hindustani,2000.0,160.0
The Broken Hearts Club: A Romantic Comedy,2000.0,94.0
Brother,2000.0,114.0
Faust,2000.0,101.0
Pay It Forward,2000.0,123.0
Burnt Money,2000.0,125.0
Greedy Guts,2000.0,132.0
Proof of Life,2000.0,135.0
The Crimson Rivers,2000.0,106.0
Book of Shadows: Blair Witch 2,2000.0,90.0
Dinner Rush,2000.0,99.0
Bedazzled,2000.0,93.0
Ed Gein,2000.0,89.0
Mela,2000.0,172.0
Nightcap,2000.0,101.0
Kaho Naa... Pyaar Hai,2000.0,172.0
Love & Sex,2000.0,82.0
Divided We Fall,2000.0,120.0
Suzhou River,2000.0,83.0
The Tao of Steve,2000.0,87.0
Dark Days,2000.0,82.0
Pokémon 3 the Movie: Spell of the Unown,2000.0,93.0
Ring 0: Birthday,2000.0,99.0
Flickering Lights,2000.0,109.0
The Filth and the Fury,2000.0,108.0
The Original Kings of Comedy,2000.0,115.0
Bread and Tulips,2000.0,114.0
101 Reykjavík,2000.0,88.0
Boys Don't Cry,2000.0,90.0
Brat 2,2000.0,122.0
One Hundred Steps,2000.0,114.0
Ants in the Pants,2000.0,95.0
Under the Sand,2000.0,92.0
Chocolat,2000.0,121.0
Alai Payuthey,2000.0,156.0
"Dude, Where's My Car?",2000.0,83.0
Hera Pheri,2000.0,156.0
Come Undone,2000.0,100.0
Pellet,2000.0,88.0
Italian for Beginners,2000.0,112.0
Eureka,2000.0,217.0
Yi Yi,2000.0,173.0
Spiral,2000.0,90.0
The Bench,2000.0,93.0
Amores Perros,2000.0,154.0
Devils on the Doorstep,2000.0,139.0
Before Night Falls,2000.0,133.0
The Gleaners & I,2000.0,82.0
Nine Queens,2000.0,114.0
Fiza,2000.0,170.0
Mission Kashmir,2000.0,154.0
Werckmeister Harmonies,2000.0,145.0
Baise-moi,2000.0,77.0
Billy Elliot,2000.0,110.0
Har Dil Jo Pyar Karega...,2000.0,173.0
Nico and Dani,2000.0,91.0
Time and Tide,2000.0,113.0
Ask Me If I'm Happy,2000.0,100.0
Common Wealth,2000.0,110.0
The Circle,2000.0,90.0
Dhadkan,2000.0,161.0
Godzilla vs. Megaguirus,2000.0,105.0
The Isle,2000.0,90.0
A Time for Drunken Horses,2000.0,80.0
Digimon: The Movie,2000.0,82.0
Joint Security Area,2000.0,110.0
George Washington,2000.0,89.0
Brainstorm,2000.0,74.0
Battle Royale,2000.0,114.0
Jalla! Jalla!,2000.0,88.0
Barking Dogs Never Bite,2000.0,110.0
Our Lips Are Sealed,2000.0,89.0
A Dog's Will,2000.0,104.0
Blood: The Last Vampire,2000.0,48.0
Versus,2000.0,119.0
Il Mare,2000.0,105.0
Titanic: The Legend Goes On...,2000.0,90.0
Kushi,2000.0,178.0
One Piece: The Movie,2000.0,51.0
Kate & Leopold,2001.0,118.0
Glitter,2001.0,104.0
Don's Plum,2001.0,89.0
From Hell,2001.0,122.0
The Lord of the Rings: The Fellowship of the Ring,2001.0,178.0
The Shipping News,2001.0,111.0
Heartbreakers,2001.0,123.0
Shrek,2001.0,90.0
Driven,2001.0,116.0
Planet of the Apes,2001.0,120.0
Training Day,2001.0,122.0
